"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit1","mod1","newsuit","mod","outrange"
"1","BGxh1","BGxh1/110","At",2,"At",2,"MRyan",NA,NA,NA
"2","ESSFdc2","ESSFdc2/112","Pli",2,"Pl",2,"MRyan",NA,NA,NA
"8","ESSFdh1","ESSFdh1/101","At",2,"At",2,"MRyan",NA,NA,NA
"9","ESSFdh1","ESSFdh1/103","At",2,"At",2,"MRyan",NA,NA,NA
"43","ESSFdv1","ESSFdv1/02","At",3,"At",3,"",NA,NA,NA
"44","ESSFdv1","ESSFdv1/05","Pli",2,"Pl",2,"D6",NA,NA,NA
"45","ESSFdv1","ESSFdv1/06","Pa",2,"Pa",2,"",NA,NA,NA
"46","ESSFdv2","ESSFdv2/02","At",3,"At",3,"",NA,NA,NA
"47","ESSFdv2","ESSFdv2/06","Pa",2,"Pa",2,"",NA,NA,NA
"48","ESSFmw1","ESSFmw1/101.1","Ba",2,"Ba",2,"MRyan",NA,NA,NA
"49","ESSFmw1","ESSFmw1/101.1","Bl",2,"Bl",2,"MRyan",NA,NA,NA
"50","ESSFmw1","ESSFmw1/101.1","Hm",2,"Hm",2,"MRyan",NA,NA,NA
"51","ESSFmw1","ESSFmw1/101.1","Hw",2,"Hw",2,"MRyan",NA,NA,NA
"52","ESSFmw1","ESSFmw1/101.1","Pli",3,"Pl",3,"MRyan",NA,NA,NA
"53","ESSFmw1","ESSFmw1/101.1","Se",1,"Sx",1,"MRyan",NA,NA,NA
"54","ESSFmw1","ESSFmw1/101.2","Ba",2,"Ba",2,"MRyan",NA,NA,NA
"55","ESSFmw1","ESSFmw1/101.2","Bl",2,"Bl",2,"MRyan",NA,NA,NA
"56","ESSFmw1","ESSFmw1/101.2","Hm",2,"Hm",2,"MRyan",NA,NA,NA
"57","ESSFmw1","ESSFmw1/101.2","Hw",2,"Hw",2,"MRyan",NA,NA,NA
"58","ESSFmw1","ESSFmw1/101.2","Pli",3,"Pl",3,"MRyan",NA,NA,NA
"59","ESSFmw1","ESSFmw1/101.2","Se",1,"Sx",1,"MRyan",NA,NA,NA
"60","ESSFmw1","ESSFmw1/102.1","Bl",2,"Bl",2,"MRyan",NA,NA,NA
"61","ESSFmw1","ESSFmw1/102.1","Fdi",3,"Fd",3,"MRyan",NA,NA,NA
"62","ESSFmw1","ESSFmw1/102.1","Pli",2,"Pl",2,"MRyan",NA,NA,NA
"63","ESSFmw1","ESSFmw1/102.1","Se",2,"Sx",2,"MRyan",NA,NA,NA
"64","ESSFmw1","ESSFmw1/102.2","Bl",2,"Bl",2,"MRyan",NA,NA,NA
"65","ESSFmw1","ESSFmw1/102.2","Fdi",3,"Fd",3,"MRyan",NA,NA,NA
