bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange,Region,Notes
BGxh2,BGxh1/Fm01,Act,1,Ac,, ,FALSE,TO, 
BGxh2,BGxh1/Fm01,At,2,At,, ,FALSE,TO, 
BGxh2,BGxh1/Fm01,Ep,2,Ep,, ,FALSE,TO, 
BGxh2,BGxh1/Fm01,Fdi,3,Fd,, ,FALSE,TO, 
BGxh2,BGxh1/Fm01,Pyi,3,Py,, ,FALSE,TO, 
BGxh2,BGxh1/Fm06,Act,1,Ac,, ,FALSE,TO, 
BGxh2,BGxh1/Fm06,At,2,At,, ,FALSE,TO, 
BGxh2,BGxh1/Fm06,Ep,2,Ep,, ,FALSE,TO, 
BGxh2,BGxh1/Fm06,Fdi,3,Fd,, ,FALSE,TO, 
BGxh2,BGxh1/Fm06,Pyi,3,Py,, ,FALSE,TO, 
BGxh2,BGxh2/Fm01,Act,1,Ac,, ,FALSE,TO, 
BGxh2,BGxh2/Fm01,At,2,At,, ,FALSE,TO, 
BGxh2,BGxh2/Fm01,Ep,2,Ep,, ,FALSE,TO, 
BGxh2,BGxh2/Fm01,Fdi,3,Fd,, ,FALSE,TO, 
BGxh2,BGxh2/Fm01,Pyi,3,Py,, ,FALSE,TO, 
BGxh2,BGxh2/Fm06,Act,1,Ac,, ,FALSE,TO, 
BGxh2,BGxh2/Fm06,At,2,At,, ,FALSE,TO, 
BGxh2,BGxh2/Fm06,Ep,2,Ep,, ,FALSE,TO, 
BGxh2,BGxh2/Fm06,Fdi,3,Fd,, ,FALSE,TO, 
BGxh2,BGxh2/Fm06,Pyi,3,Py,, ,FALSE,TO, 
BGxw1,BGxw1/Fm01,Act,1,Ac,, ,FALSE,TO, 
BGxw1,BGxw1/Fm01,At,2,At,, ,FALSE,TO, 
BGxw1,BGxw1/Fm01,Ep,2,Ep,, ,FALSE,TO, 
BGxw1,BGxw1/Fm01,Fdi,3,Fd,, ,FALSE,TO, 
BGxw1,BGxw1/Fm01,Pyi,3,Py,, ,FALSE,TO, 
BGxw1,BGxw1/Fm05,Act,1,Ac,, ,FALSE,TO, 
BGxw1,BGxw1/Fm05,At,2,At,, ,FALSE,TO, 
BGxw1,BGxw1/Fm05,Ep,2,Ep,, ,FALSE,TO, 
BGxw1,BGxw1/Fm05,Fdi,3,Fd,, ,FALSE,TO, 
BGxw1,BGxw1/Fm05,Pyi,3,Py,, ,FALSE,TO, 
